,s_off,h_off,h_diag,s0,t1
0,0.38688,-0.4079450366683006,-0.9331714449705225,-0.9670025392527278,-0.8566453684469956
1,0.39256,-0.40918765516637257,-0.9300107753637898,-0.9616809548817733,-0.8574066906977105
2,0.38634,-0.4139832525313031,-0.9321348135008047,-0.9709869628172798,-0.844362612797806
3,0.38246,-0.4107715170274392,-0.9324095679151043,-0.9715876661476959,-0.8447032595259661
4,0.39058,-0.41027246611228474,-0.9311502011739443,-0.9646497628947843,-0.8547106019849358
5,0.38342,-0.4154120333911768,-0.9298003565423998,-0.9723817712145093,-0.8342604741497016
6,0.38662,-0.40687352103595953,-0.9324577158590348,-0.9658963788889489,-0.8568655561366125
7,0.38688,-0.4102193755641975,-0.933109401617471,-0.9685976992830445,-0.852834724121336
8,0.383,-0.4089275044173153,-0.9320487598720076,-0.969614073961911,-0.8478464432004741
9,0.37982,-0.41323063740737104,-0.9321379714189425,-0.9750319670872386,-0.8367043987416097
