,s_off,h_off,h_diag,s0,t1
0,0.50998,-0.5451252170471198,-0.9654946630745699,-1.000423767282805,-0.8578618138595366
1,0.50814,-0.5448036160582077,-0.9650331309717056,-1.0011250593644578,-0.8543681431982638
2,0.5108,-0.5460148101949707,-0.9643106781226028,-0.9996859202525639,-0.8550610546353887
3,0.50924,-0.5421147133339326,-0.9654651422032081,-0.9989000129450192,-0.8626424909717083
4,0.51298,-0.5465358494806318,-0.9641405150566784,-0.9984774184307196,-0.8574692324258686
5,0.51018,-0.5425741241171491,-0.9653452945355125,-0.9985031046978914,-0.8631153697651451
6,0.5052,-0.5438330387894311,-0.9650287684511782,-1.0024327712201764,-0.851244401094881
7,0.5163,-0.5440621563450951,-0.9649270237087613,-0.9951785135222952,-0.8700948260567832
8,0.5135,-0.5443423541135735,-0.9651239201742696,-0.9973348360012179,-0.8649158603508659
9,0.51088,-0.543196058000052,-0.9665210194595344,-0.9992303011884375,-0.8654828292841887
