,s_off,h_off,h_diag,s0,t1,em_s_off,em_h_off,em_h_diag,em_s0,em_t1
0,"[0.3253459696999461, 0.7194963516238271, 0.45497252664309057, 0.7393071080410347, 0.634093841635445, 0.5928743543112633, 0.7042726744663588, 0.616765757804369, 0.79123321467188, 0.5551126011900629]","[-0.5193853664721163, -0.9769112119460429, -0.4206390042432168, -0.8381875028375485, -0.5495668761875725, -0.41101949984144, -0.7025707397973597, -0.7498357622656572, -0.636396949953005, -0.43281547192061154]","[-0.9479488400801872, -0.9560068088355701, -0.39413900974293026, -0.9945885978991396, -0.5937778590862115, -0.7384076776190694, -0.5636859228901403, -1.2027097786770664, -1.6347425189920894, -0.720191643851774]","[-1.1071329600711752, -1.1241187100840537, -0.5599954631899484, -1.0537392115880713, -0.6996811970905501, -0.8041453080750665, -0.7429894767772357, -1.207686105125307, -4.782109220439346, -0.7414299870569098]","[-0.6352344377420621, 0.07452453196772223, 0.048621392123719825, -0.5999438415306295, -0.12082601477997344, -0.7216056774029147, 0.46963809197070705, -1.1817159495372784, -1.2679194704197823, -0.6459525999160387]","[0.25170608061526084, 0.2805042138273416, 0.2666736302097053, 0.30160779298111234, 0.27390530841831157, 0.24348354915511422, 0.2728743609343185, 0.28763113227100934, 0.2716763958386245, 0.2600404078793074]","[-0.14503754017665565, -0.21811084043424886, -0.11539300904448753, -0.2287952485004477, -0.17547320492606985, -0.12679972777794649, -0.174881546153688, -0.23904292272521613, -0.18895007996793534, -0.15116911595924065]","[-0.5189187358392261, -0.5014533002091905, -0.4335137068835358, -0.4941548072465793, -0.45493459607387493, -0.45467512915672953, -0.4687934379527726, -0.665348058091269, -0.5188791397198576, -0.4648889128484568]","[-0.5304410406710831, -0.5619381278666082, -0.43380507089908615, -0.5554284936257429, -0.494862370722564, -0.46761765149990087, -0.50568618856773, -0.7023680603476873, -0.5566111174226878, -0.48891926398181546]","[-0.4996448400515968, -0.39380697596878994, -0.4333450249825984, -0.3799577888745759, -0.3848828457057582, -0.4334015486545048, -0.404210601316089, -0.5984331358065944, -0.45299789525813505, -0.4239688223921912]"
1,"[0.8016838183649592, 0.8048491177917951, 0.7614443213555304, 0.5488607818612893, 0.8792232084294511, 0.6815576565971817, 0.595912505118304, 0.5925388277811418, 0.6717008852443517, 0.7271521805735475]","[-0.8821023498947307, -0.771982243371188, -0.8230322108119942, -0.5148406467260905, -0.9378962291972845, -0.7404408613393134, -0.6718299935777567, -0.6468810194031498, -0.6976831303913797, -0.8941587433252788]","[-1.0169969184434615, -0.990192995710872, -1.1677370614478368, -0.9878266178841365, -0.9112618269303657, -0.6705978636017293, -0.7497080977365527, -0.9682928973904332, -1.1278860793428913, -1.0511901849496064]","[-1.0540691152244672, -1.1181643140453588, -1.4449660246804357, -1.0484257456256398, -0.984001287251594, -0.8391259850087067, -0.8907368585403319, -1.0142132101381658, -1.3103993572194361, -1.1263332497017602]","[-0.6801995048340326, -0.9763559855009122, -1.1301914276392353, -0.9701758106396426, 0.22052583050578048, 0.21932698080052487, -0.19272584562805178, -0.7888159655483554, -1.092042976018062, -0.5755275668114919]","[0.5644511418575311, 0.5010323694953736, 0.5263157440241234, 0.41991593017546336, 0.5440856173548668, 0.4984204989777279, 0.47644621396125164, 0.47181315466840856, 0.4336309014648526, 0.576648469130899]","[-0.597910365324008, -0.5184685379685531, -0.5595133054393165, -0.4185863669000695, -0.5652361363638589, -0.5171409179989486, -0.49752844262996154, -0.48340214225018485, -0.4406767234231329, -0.6056510050754851]","[-0.7801762534246749, -0.7405812589272261, -0.8328229950984456, -0.6865724387893376, -0.8083879140766485, -0.7277386814253792, -0.7839035514832988, -0.7244879822378852, -0.7484044728346434, -0.7394887405004943]","[-0.8808754596915244, -0.8387892376491886, -0.9122203619985435, -0.7783269292237882, -0.8896035524206405, -0.8307945601876282, -0.8679164753826181, -0.8206817017885677, -0.829419340112437, -0.8531640196989918]","[-0.418474034986558, -0.44514454922464874, -0.5769870672523426, -0.4619779887600229, -0.53332771890649, -0.4198691593201279, -0.546983168663673, -0.45644044738817513, -0.543334285375765, -0.3161385412974718]"
2,"[0.8125458463988352, 0.8320094170140141, 0.7150385671416609, 0.7111524836489004, 0.8604406836034658, 0.7494914175626025, 0.783814856965597, 0.6847878704387215, 0.7072710972463102, 0.6752559588778164]","[-0.8620957767799614, -0.860715627889574, -0.7600629665881655, -0.7692560727745877, -0.9019537789473858, -0.8024014581456749, -0.8777576824413439, -0.7022033337865301, -0.7466488885088537, -0.7447375594428117]","[-0.9561676881465707, -1.0610142839260763, -0.9993692235804126, -0.9922632541537387, -1.0475372383897852, -1.0086329877271614, -0.8552381301618402, -0.758037798329153, -1.086325858784286, -0.8186992046492629]","[-1.0031544683623075, -1.192320738914345, -1.0258849123730815, -1.0294344564617777, -1.047865182974404, -1.035177668031076, -0.9715110320087479, -0.8667210618838525, -1.1603807040579308, -0.9332524715443218]","[-0.5018395674857149, -1.0489738174751697, -0.8397847196087471, -0.7720585040727218, -1.04316546685245, -0.8232513536059152, 0.10416789962259332, -0.17713298222481122, -1.073628406320226, -0.2277536639344322]","[0.803415160866954, 0.8235779088468751, 0.7681565220049575, 0.7610439367553877, 0.787972602480394, 0.7703604633448536, 0.7690134783581077, 0.7171761439660111, 0.7005609106739334, 0.7467591595275935]","[-0.8555353584787401, -0.8708273944919054, -0.8146035511308898, -0.8101220188023327, -0.8268698061383669, -0.8195855871891313, -0.8126243305069221, -0.7639235551748516, -0.7560819154565883, -0.798609388848146]","[-0.9617535395866018, -0.9993993762166627, -0.9821123100675618, -0.9320214541733566, -0.9672032301687554, -0.963357793677757, -0.8768159890437277, -0.882285287008973, -0.9326879701503351, -0.9399232578690194]","[-1.007693035691082, -1.02558095359424, -1.016152042445377, -0.9892674660834861, -1.0034119280229827, -1.00710754548724, -0.9550183422676276, -0.9586720896213479, -0.9930663906285266, -0.9952904138125985]","[-0.5403172573037267, -0.7287748426763844, -0.7225079626361279, -0.5101332592939439, -0.6618645782199539, -0.6260777590077218, -0.2779021826923936, -0.41849981643662026, -0.5897895798815904, -0.5580216396267693]"
3,"[0.7905259000784904, 0.6904501257032801, 0.7231596163732205, 0.734677979023087, 0.7131120640927315, 0.7672652258014118, 0.7470633573410691, 0.7162192467446555, 0.8182703707780392, 0.6997455644746219]","[-0.8385238285457217, -0.7329675226577783, -0.7803941797013616, -0.7780662073410916, -0.7768481703958683, -0.8186154485116656, -0.7953541952173118, -0.7675016678315246, -0.8576536066108418, -0.739805586774224]","[-0.9199771214175335, -0.8276077079248283, -1.00164767005571, -0.921107411619087, -1.0633091138710675, -0.995406896224333, -0.8820897475216706, -0.9258877113465248, -1.1183754622027777, -0.9057966857613047]","[-0.98211422123867, -0.9231714126634516, -1.0341710848051222, -0.9795325930851424, -1.0741604842071366, -1.0264573298065, -0.9601506068400154, -0.986697580970549, -1.4346689458849649, -0.9681462372541455]","[-0.3888466063457607, -0.3057348528474362, -0.7992095931084598, -0.5391230013676181, -0.9985116403353846, -0.7596262669445975, -0.3429141440029164, -0.5581282088305869, -1.0867630582178356, -0.5528347939194749]","[0.8881521576523047, 0.8364655937144213, 0.843729090689236, 0.8437605212417071, 0.8460040692171723, 0.8701948706332691, 0.8900248365713087, 0.8520353240832632, 0.8614131881513313, 0.8478154129630576]","[-0.9437985937793415, -0.8952765128609403, -0.9012549264733348, -0.9032015208730383, -0.901391095278361, -0.9275028438880026, -0.9433970574326674, -0.9076499999085956, -0.9174006958301834, -0.9036068933272386]","[-1.016149162429203, -0.9927459398286607, -1.0151276095924167, -1.01826468790517, -1.0171056684114361, -1.0231535267645415, -1.0131480347516912, -1.0275334695236844, -1.0012487677649988, -1.0070554405383902]","[-1.0380242652930625, -1.0280739585602043, -1.0394057053953387, -1.042145217147924, -1.0392700621203759, -1.0430230567320666, -1.0351954399359768, -1.0448955504615842, -1.0307488287974877, -1.0340114713091355]","[-0.6468660202219113, -0.5960178605932648, -0.7286876592791296, -0.7364538588235934, -0.751413186990384, -0.7368790689796434, -0.634242997640561, -0.810216822848651, -0.6050220133960094, -0.6797570583546659]"
4,"[0.7241095309599229, 0.7240200484111264, 0.7082035569770881, 0.7288016731860251, 0.7495661219662344, 0.7674370578060455, 0.7684321464457677, 0.718977707461608, 0.7019708653608779, 0.7495351830789863]","[-0.7701748809936403, -0.7666943853081071, -0.7502471280065033, -0.7723296086105711, -0.7973792765368524, -0.816214517039852, -0.8111047191613434, -0.7628247953216815, -0.745284293319815, -0.7945647303261932]","[-0.9720929722929919, -0.9162272822945728, -0.9385519883958173, -0.9290249652690428, -1.018562421862632, -0.9196143999932905, -0.9070827729766585, -0.9593242210078421, -0.9054629914369727, -0.9693025411675823]","[-1.0105320004330578, -0.9761613092340062, -0.9886404401305038, -0.984123627520658, -1.037938306874995, -0.9821163980729595, -0.9715880225267628, -1.0018448807417046, -0.9699033739962235, -1.0081919406671012]","[-0.7318777339496279, -0.5418252163810234, -0.6453295264278747, -0.5777888031217644, -0.8831997773718048, -0.44461031485921065, -0.41447054218532736, -0.6992307404200533, -0.5374598638187336, -0.697654117610036]","[0.8728965281208725, 0.894106223445607, 0.8749824734291256, 0.8723513301304673, 0.8883756906299012, 0.8704800483900962, 0.8905471198534521, 0.8879920263005568, 0.8762007986549317, 0.8861696671974075]","[-0.9307226225431495, -0.9514406002712985, -0.9326926586235911, -0.9289049632862674, -0.9461094077517839, -0.9301276994881652, -0.9479536901280682, -0.9466141911896869, -0.934686144822809, -0.9425224871641532]","[-1.0279409804366393, -1.0324741378488385, -1.027803644854121, -1.0304192282075588, -1.0323503337412416, -1.0318362448623575, -1.0282947495421806, -1.035528873024562, -1.0302367908947871, -1.0257450079734547]","[-1.0457938137911809, -1.047414719176181, -1.0456078023450488, -1.0464511440581499, -1.0477045173320758, -1.0489093139695158, -1.0453314910360127, -1.0498683451000463, -1.047288188517066, -1.0435262157842813]","[-0.7648757068252408, -0.7652341829164677, -0.7607812187566362, -0.7952630060700772, -0.7725998617695317, -0.7852731884931851, -0.7340241691816858, -0.7938245724671751, -0.7718195677664164, -0.7311102301143946]"
5,"[0.733875428510116, 0.7255057083232186, 0.724289382009217, 0.735858918138258, 0.7159889520091409, 0.748824926121365, 0.7168604799517911, 0.7220642718392398, 0.7306404572772731, 0.7228000870745405]","[-0.7794341739897819, -0.7710483062864317, -0.7694116709693534, -0.7820738639233699, -0.7615635511742944, -0.7956662676321401, -0.7610507313047135, -0.7684231937749652, -0.7758661189387428, -0.768679584413044]","[-0.9552302404239308, -0.9709032136674527, -0.9347086228582356, -0.9790582080291057, -0.9366185800690452, -0.9878399779314766, -0.9402469713714539, -0.9238864456049978, -0.9303123038315109, -0.9416775771045806]","[-1.000455041862076, -1.0095310096926005, -0.9883029563412806, -1.014559451548818, -0.9896229980123401, -1.0198312129042955, -0.9909353279096617, -0.9827215319742406, -0.9858653284082447, -0.99277749888088]","[-0.6605781099053131, -0.7280840201090637, -0.599530598761373, -0.7457542867521165, -0.6163669692891134, -0.7650986514378124, -0.6328902444852259, -0.5593496484198374, -0.5733830081964156, -0.6240910787661634]","[0.8911405333021002, 0.8923819006866958, 0.8913304941105678, 0.8857444987051624, 0.8736357853886026, 0.8938981568576987, 0.8868173710755813, 0.8790120277010112, 0.8853622754424719, 0.88336719710655]","[-0.9497585635338133, -0.950674364555729, -0.9512456909407944, -0.9449668486143292, -0.9339402065711042, -0.9533853560184299, -0.9459826604151368, -0.9382323725986338, -0.944295604265914, -0.9431742633465944]","[-1.0374398065565027, -1.0351895472239017, -1.0360042806816303, -1.0373602114719664, -1.0365129402124194, -1.0357506867057626, -1.0362523158974832, -1.032920120200801, -1.0367455594959611, -1.0371740439943153]","[-1.050793600526604, -1.0493991255459656, -1.0507153444681094, -1.0512172043707146, -1.0516735227571672, -1.0502866986388064, -1.0505706629055709, -1.0490366552954737, -1.0507482777000767, -1.0514934689227644]","[-0.8054535419139714, -0.7853249890813166, -0.7799666433293172, -0.8086557041941912, -0.8117229546098381, -0.776285578534826, -0.7975575080750857, -0.7826211631034872, -0.8064531600472714, -0.8059463402726811]"
