,s_off,h_off,h_diag,s0,t1
0,0.8897849584563514,-0.947520596900905,-1.0384000651335423,-1.0508712396867752,-0.8245650227028795
1,0.8917272611590238,-0.9500603226841637,-1.039428265430824,-1.0516783412509834,-0.8253965282795507
2,0.9087447008198405,-0.9644626563559865,-1.039721737224719,-1.0500012876105809,-0.8247091571104627
3,0.8989447574994345,-0.9572432420004078,-1.040641306331149,-1.0521025113771125,-0.8252720221840498
4,0.8977759095333501,-0.9564453116149598,-1.0403581382832263,-1.0521808396172476,-0.820871345347334
5,0.9048146621405937,-0.9643529390027975,-1.0421291642757984,-1.0533739282664647,-0.8171030015975822
6,0.9024380864355143,-0.9605745148631611,-1.0408589457097686,-1.052036055650514,-0.8229075047153682
7,0.88755715275931,-0.9466106331869324,-1.039469148508461,-1.052195838834368,-0.825828566247171
8,0.8882201117084662,-0.947339352039431,-1.039437230092691,-1.0521954351680334,-0.8239217220638031
9,0.8904223421081108,-0.9502192925033905,-1.040309886519242,-1.0529547470344045,-0.8221620697965276
