,s_off,h_off,h_diag,s0,t1
0,0.7428429584392313,-0.7873662509677757,-0.9353364155600191,-0.9884440007552528,-0.5754077885410606
1,0.7550894354636076,-0.8031714060430425,-0.9525975220801906,-1.0003871555750354,-0.6101252362061506
2,0.7119823641632561,-0.7544474066888621,-0.92149072170744,-0.9789459070832364,-0.5799759953354471
3,0.7345029010865101,-0.7813820540213556,-0.9923007573071142,-1.0225885527302474,-0.7944294086410514
4,0.733919436793644,-0.7791165283797024,-0.9323857570669357,-0.987071399702134,-0.5760256474215555
5,0.725483307649976,-0.7698326714915362,-0.9594247120472368,-1.002187257258337,-0.6906393885657058
6,0.7645219172927612,-0.8118391713360291,-0.9994520612688733,-1.026505375112539,-0.7967318562131166
7,0.7493661535617949,-0.7935772797666683,-0.9439789415501203,-0.993249022098112,-0.6000851996680916
8,0.7106311399783996,-0.7511849925462789,-0.9539706665392153,-0.996799145786055,-0.7007860969483692
9,0.7190153306002938,-0.7654638349987535,-0.9612011067774713,-1.0044499959015838,-0.6966119261840497
