,s_off,h_off,h_diag,s0,t1,fidelity1,fidelity2
0,"[0.5086062020950507, 0.39705027182811137, 0.4905061222660724, 0.516558245886146, 0.6155818525747625, 0.7117498446113615, 0.4134538967166089, 0.3621270288964633, 0.4661859204024747, 0.7044231344936265]","[-0.5270444678161036, -0.4253653474681614, -0.5729526396609355, -0.5673250593172297, -0.6214307632527775, -0.806083060054506, -0.4938110384220305, -0.39418970124382324, -0.46758930413304084, -0.6920815285414431]","[-0.7390922725669267, -0.7251857889964974, -0.8412359625022134, -0.776470410237405, -0.7975642745789383, -0.8171743058100935, -0.7624720268330283, -0.6693920928097079, -0.6593878830084297, -0.8507637553272785]","[-0.8392758419160048, -0.8235574335912078, -0.948797580256232, -0.8860823335996807, -0.8783182576421336, -0.9483029141055052, -0.8888037085421384, -0.7808242340769049, -0.7686454844908823, -0.9052008580762966]","[-0.4315231605585703, -0.4972561185778714, -0.5265682956476727, -0.43261747488803, -0.4581820928743112, -0.03847784831419622, -0.45803899626487443, -0.431437612240847, -0.35929846402702115, -0.5368560442441452]","[0.7513435388593623, 0.8189287033803527, 1.7969858681666337, 0.9141576167824822, 1.4329194317129494, 1.7702207557489071, 0.8827646540781999, 0.5492443536571838, 1.210444143635409, 1.6283670159404504]","[0.9624074825646451, 0.620238051733391, 0.9666392033639974, 1.2032019960655063, 0.6526629055456478, 1.3122759922519394, 1.5105179019604569, 0.8637800105407387, 0.5453051157077522, 1.4483876464035734]"
1,"[0.7098515313300486, 0.9082260508077332, 0.8062127449824257, 0.8540465222412611, 0.8858931579505133, 0.7801697463318664, 0.8606282702908106, 0.8321167723025791, 0.8722441227418091, 0.8599880592141056]","[-0.7737794907238528, -0.9525175524728079, -0.8649014066558932, -0.9132956221689724, -0.9438480818504756, -0.8566493366150205, -0.9080636664605181, -0.8814895889475018, -0.9178352896698395, -0.9199691907102666]","[-0.9534582307886357, -0.9953015844525853, -0.9760316710532052, -1.0142394112853461, -1.027919069600863, -0.980020307148391, -0.9577066873045237, -0.9746646245173978, -0.9983222886428269, -0.977864962471984]","[-1.0101682455253385, -1.0207486351530002, -1.0192227260178095, -1.0396368215853726, -1.0455349196951056, -1.0317384887300585, -1.0027636275103073, -1.0131200377212368, -1.0234549838012301, -1.0203474929748397]","[-0.6192648228971714, -0.46618928744304905, -0.5734652900018307, -0.6916161962459968, -0.7367742918862563, -0.5612101540837833, -0.3561914668605311, -0.55499907196106, -0.6300062329839081, -0.41350595839715776]","[0.9423415417552413, 1.1995407102673363, 1.0023526179251316, 1.0241509494280774, 1.4077168573846623, 1.082758052586436, 1.0491215921961738, 1.0176426001381977, 1.1693952333795088, 0.8623670200650158]","[0.8615858552125901, 1.0595621523848247, 0.7351278273000214, 1.0810808930178575, 1.0761561126882218, 0.8764420222012841, 0.7925292901348348, 0.9310056270409184, 0.8465916526263746, 0.7868357996403805]"
2,"[0.8945788261053347, 0.8506554658136642, 0.9230271207005964, 0.9309762412070792, 0.9441092999397256, 0.9121556318062723, 0.8864260157450581, 0.872505413836263, 0.8090510219298855, 0.9001462152498874]","[-0.9491702841551789, -0.9102279815158384, -0.9855432208944623, -0.9876327732496605, -1.003000766408467, -0.9719985515321131, -0.9448068768831588, -0.9327759904333527, -0.871249968824431, -0.958527434412883]","[-1.0316012394182157, -1.0236088714051337, -1.0445445795739543, -1.0428843252517732, -1.0498528751295728, -1.0447855056526225, -1.0305008451051103, -1.0329667694443012, -1.028116004205727, -1.040741849991186]","[-1.0454943844407072, -1.0449469869696875, -1.0556729952559463, -1.0515494987303056, -1.055935302403875, -1.0547175259367505, -1.0471164548735863, -1.0497928312262514, -1.0499239380235528, -1.0521660219401305]","[-0.7819202937865222, -0.7591900869156091, -0.7665213932038681, -0.8004715038465773, -0.838280942456955, -0.8285898756763627, -0.7545211060800019, -0.7858433995171911, -0.8215075931105345, -0.8233480161422747]","[0.9913668076972058, 0.9804978064411346, 1.007017975320753, 1.1186102917978513, 0.9521438864557116, 0.8725054142715689, 0.9776495260761501, 0.8596930045018651, 1.1396466667120408, 0.9215273965445644]","[0.8673949046412905, 0.8229317436103725, 1.158640655311599, 1.1013667248446206, 1.1150294362032063, 0.9136998118459992, 1.032028563023973, 1.0675001517434795, 0.9401909504380773, 0.8825853003599109]"
3,"[0.906672845644857, 0.8693257938253509, 0.9164846771455031, 0.8956311537007187, 0.8791173573694779, 0.9026551618163169, 0.8891383920192286, 0.8992952780433445, 0.8780864807105864, 0.8871159197755002]","[-0.9652583260558992, -0.9308720676886539, -0.9771563349230351, -0.9558468330411604, -0.9384083262267922, -0.9612698378260044, -0.949172273587954, -0.9583078208659417, -0.9394082120420654, -0.9487318961887387]","[-1.0422386180962269, -1.0383056685227132, -1.045841177414844, -1.0417166060475607, -1.037288021308739, -1.04156154399556, -1.0407623909101518, -1.0414084556942504, -1.040733994140683, -1.041456399350886]","[-1.0528796005762433, -1.0534160191422177, -1.0555771911263183, -1.0537722146995772, -1.0513959331955995, -1.0526507493399997, -1.0533556847421537, -1.0528727679564924, -1.054340269481919, -1.0546189954119969]","[-0.824843450678783, -0.8221484865228246, -0.8224220435748509, -0.822752919584506, -0.8179809187674094, -0.824817295582232, -0.8261662354571282, -0.8251910457989875, -0.8311283497450169, -0.8214134621794347]","[1.0581890283140947, 0.9824281224503706, 0.8496724606761339, 0.9290359149904928, 1.115217159773901, 0.9966025491571955, 1.0058861517741062, 0.9921395893132258, 1.0130546745857207, 1.0191821459261874]","[1.0680511800070183, 0.989505627245266, 1.0864852434174816, 1.0674737273507875, 0.9448749989721155, 0.9671519591683385, 1.034463742981745, 1.054796945220282, 1.111246762788031, 1.0208403788401696]"
4,"[0.8935244248642634, 0.9006991347753616, 0.8929752092145086, 0.8966524626360551, 0.8996164774954419, 0.9000666349550659, 0.8859575641762006, 0.8912606001878199, 0.8774188414804032, 0.897278548617494]","[-0.9514777603523028, -0.9605803788128668, -0.9528823115809186, -0.9579549136496238, -0.9568361046383721, -0.9585389031745053, -0.9456794879075556, -0.9504188555271397, -0.9381734618322249, -0.9560627237292059]","[-1.0395829094500806, -1.042617561799545, -1.0415540757345236, -1.0432355415238277, -1.039461990372645, -1.0412144563089774, -1.0403074677318451, -1.0405800438450084, -1.0395349560309972, -1.040855037616122]","[-1.0515104234502346, -1.0539268966675068, -1.0535987886196538, -1.0551171047921477, -1.0508953352747525, -1.0524648571236945, -1.053039046775633, -1.0527364125147127, -1.0534188611336923, -1.052516913133519]","[-0.8274681680325285, -0.826147715844103, -0.8285161176472545, -0.8251829704841707, -0.823102075647138, -0.8273068068637308, -0.8297611248017708, -0.8291492179798625, -0.8268929370786438, -0.8254586821517279]","[1.0789000950052194, 0.9783181892686063, 1.0047111106818216, 0.9515376705555857, 0.9851980173186846, 0.9850431056267507, 1.0078391480300248, 0.9701515011318981, 0.9991238729015439, 1.0023226210234606]","[0.9667627724065325, 1.0301252768191254, 1.0583325514149187, 0.9825212767858367, 1.0269506366241425, 0.9529674963853461, 1.0097364451577093, 0.9987787306540583, 1.0520018418142578, 0.9797893971997731]"
5,"[0.9011060160049696, 0.8992425687639878, 0.8996533444685043, 0.8983438979493765, 0.887262687438165, 0.8936909344147355, 0.89678758254084, 0.8897620106166718, 0.8875896634506446, 0.8882762414357116]","[-0.9601804244610112, -0.9576759350542556, -0.9585568262652768, -0.9570793202288436, -0.9466601616771562, -0.953231876256814, -0.9562671223134565, -0.9495687068732954, -0.9482154637854241, -0.9485321695338994]","[-1.0420782599533407, -1.04112237666765, -1.0416746195650002, -1.0411616360966085, -1.0399581570362313, -1.0412635932308034, -1.0417543227184218, -1.040833378833634, -1.0412764788213362, -1.0410940309454069]","[-1.0532072738489076, -1.0524186560449242, -1.0529455027437717, -1.0526232673036673, -1.0526453640696363, -1.05323177781597, -1.0533712174324923, -1.053255422918263, -1.053985397954464, -1.053673269206912]","[-0.8281376903214368, -0.8281914355074328, -0.8283065624806524, -0.827125122561683, -0.8275698013282198, -0.8280734713389432, -0.8282646847099744, -0.8278876680432352, -0.8278688410033562, -0.8284886097726948]","[1.0049790720900642, 0.9887607854420644, 1.027843959419592, 1.0160509687122747, 1.008014038830101, 1.0166537551431953, 1.0193467057732777, 0.999584682550208, 1.0150956995355938, 0.9923790939855046]","[1.002344881780293, 0.9993422183559942, 1.0028515411786711, 1.001288127483874, 1.0006879226031342, 1.0000677735217456, 1.0264350332661456, 1.0082542825905347, 0.9967192054787601, 1.01443892470186]"
