,s_off,h_off,h_diag,s0,t1
0,0.9578906078053491,-0.978659535988042,-1.044941942995913,-1.5740528075418467,-1.0335620748762175
1,0.9130783698282486,-0.9099930034630244,-1.0361248470186606,-1.4510984585356723,-1.0172703226247874
2,0.9223890065255066,-1.0003789699028012,-1.0575482358375758,-1.070505084431293,-0.7366129896734693
3,0.8675305695729331,-0.9143517589984387,-1.0438036784324334,-1.0485265780033057,-0.9772210767167631
4,0.8241901354017752,-0.9187634679683625,-1.0759957962595357,-1.0935040298244763,-0.8943316613689081
5,0.8870127361385596,-0.842585068667605,-1.0612609425630897,-1.9354028624292852,-1.0089205943180761
6,0.8478645655368763,-0.9490671990425281,-1.0866962913866947,-1.101684359555731,-0.9046484984241236
7,0.8410366218192012,-0.929552821747303,-1.0462135539017663,-1.073181463221919,-0.7338843291426401
8,0.9430238230978298,-0.9396513011685738,-1.0471019129246608,-1.885886656463157,-1.0225058439714267
9,0.8769522319646833,-0.9346015515105777,-1.0380318948163645,-1.050976904330754,-0.8405706576985668
