,s_off,h_off,h_diag,s0,t1
0,0.58938,-0.6259016508423949,-0.9837432715604612,-1.0127502059940707,-0.8714666132143255
1,0.5875,-0.6257316971877017,-0.9834108376170771,-1.013633092790412,-0.8671009464954557
2,0.58656,-0.6239458123379353,-0.9839050774248113,-1.0134195301550188,-0.8706445072728227
3,0.58606,-0.6256623210444594,-0.9836867677183961,-1.0146836114414683,-0.864918699990184
4,0.58894,-0.6278545218413085,-0.9840967469949522,-1.014482150890695,-0.8666428870569838
5,0.58902,-0.6197271225873706,-0.9839894942637987,-1.0092488558049422,-0.8863262729972943
6,0.59266,-0.6278238896343236,-0.9830621897162231,-1.0114437980174968,-0.8720928464719876
7,0.58574,-0.6248083724151388,-0.9842630099465793,-1.0147132457790797,-0.8677029825023915
8,0.59434,-0.6269994244388415,-0.9825479593188414,-1.0095383567856813,-0.8764692966523687
9,0.58738,-0.6265505557675537,-0.983929091610876,-1.0145520589766974,-0.8661202458516851
