,s_off,h_off,h_diag,s0,t1
0,0.8881848248203403,-0.9346927410368453,-1.0530996346036576,-1.0589519121761546,-1.052753072427452
1,0.9028588812638276,-0.9451352808417686,-1.0453720438853842,-1.046061452231871,-1.0318674969746922
2,0.8978948911099103,-0.9459625258752227,-1.0658251334654127,-1.1739139098241917,-1.0600100504849976
3,0.896173417658178,-0.9368531667319882,-1.0432221558864125,-1.0442480124332951,-1.0244870509580313
5,0.9016541794268511,-0.9561766393447045,-1.0553490085857367,-1.0577767870163988,-1.0084045123937775
6,0.9196928005967517,-0.930278569845691,-1.0532284879495828,-1.5309949670454908,-1.033241910986323
7,0.8753087510398962,-0.9266531580514608,-1.0598739830962223,-1.068405571006726,-1.059306708853203
8,0.932311688616185,-0.9536381280601708,-1.0591677733131208,-1.5590527093305984,-1.0416569507038238
9,0.8751475022455266,-0.9379460569346083,-1.0667705178025382,-1.069098069531308,-1.0318132451083797
