,s_off,h_off,h_diag,s0,t1
0,0.7230021812824977,-0.7631572453317459,-0.9296869701208754,-0.9824968498835975,-0.6011950764094852
1,0.6921085028283135,-0.7306121310474485,-0.9356566344826032,-0.9847292669145794,-0.6659635141558252
2,0.7245762799074363,-0.7649735784446198,-0.9925577600599189,-1.0191090756500902,-0.8263056701827034
3,0.7100773550494339,-0.7531686273719791,-0.9448129271445054,-0.9929267524084606,-0.6610187341702924
4,0.6831076298131941,-0.7240171551772416,-0.9404633407307297,-0.9889328920056704,-0.6830274437528884
5,0.6893374380758669,-0.7319785941519555,-0.9471236837415344,-0.993941316902303,-0.692536262680147
6,0.6940048971367203,-0.7349392399779456,-0.9279527772732828,-0.9816335360434434,-0.6307732884914069
7,0.7211679493756982,-0.7635672686447349,-0.9617036053219358,-1.0023838025757223,-0.7105938368045417
8,0.6863395309316662,-0.7264470742827188,-0.9475064131478111,-0.9926550713697062,-0.7047727101910713
9,0.7324806319142505,-0.7735501732948761,-0.9618765081700462,-1.0017004805112406,-0.7039727112947007
