,s_off,h_off,h_diag,s0,t1
0,0.507560075600756,-0.5450499600823271,-0.9692750977314565,-1.0044873715631741,-0.8614759214876133
1,0.5085050850508505,-0.5432934328595758,-0.9641101702450047,-0.9992698188708904,-0.8561975405767256
2,0.5031050310503105,-0.5421866352581975,-0.9655136020676666,-1.0030571425021062,-0.8519445622568395
3,0.51710017100171,-0.5460229309358643,-0.9649110664079281,-0.9959355527236898,-0.8674431223986773
4,0.505220052200522,-0.5445913428332976,-0.9633924050857651,-1.0018360742102128,-0.8464390364142187
5,0.509630096300963,-0.5415281080254327,-0.9673490573226278,-0.9995012480509315,-0.8683668106159741
6,0.5163351633516335,-0.5424470781410892,-0.9653359903189012,-0.9943600233653224,-0.8743428922976683
7,0.5174151741517415,-0.5430947415824354,-0.9636222374838992,-0.9929497244606194,-0.8714063795153236
8,0.513590135901359,-0.5434409915123416,-0.9658567841626975,-0.997164119846907,-0.8684359093603673
9,0.5118351183511836,-0.5411246398636318,-0.9634870956753923,-0.9952221093924334,-0.8652045071025943
